chunk_id,document_title,chunk_index,old_summary_preview,new_summary_preview,status
doc_a57ef227-f21f-4369-933f-15c03d41645c_9,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,9,This document is a sworn statement for female applicants to the Poltekkes Kemenk,Pendaftar harus bersedia menjadi peserta JKN (BPJS) dengan fasilitas kesehatan d,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_3,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,3,"In accordance with Law Number 17 of 2023 concerning Health, integrated and compr","Perwujudan upaya kesehatan terpadu dan menyeluruh, sesuai Undang-Undang Nomor 17",fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_3,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,3,"Poltekkes Kemenkes Yogyakarta, for the 2026/2027 academic year, is holding a Man","Untuk membentuk tenaga kesehatan profesional dan kompeten, diperlukan pendidikan",fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_10,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,10,"This document lists 59 locations across Maluku, Papua Barat, and Papua, numbered","Dokumen ini berisi daftar wilayah seperti MALUKU KEPULAUAN ARU, MALUKU SERAM BAG",fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_12,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,12,This document contains several statements and declarations. It includes informat,"Dokumen ini berisi informasi mengenai pekerjaan dan penghasilan wali, serta kewa",fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_4,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,4,"This document references several regulations and decisions, including Peraturan ","Dokumen ini memuat beberapa peraturan dan keputusan, antara lain Peraturan Mente",fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_10,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,10,The selection process involves four stages: Stage III assesses competency and ra,"Tahap III kelulusan didasarkan pada hasil konversi nilai dan asesmen, sedangkan ",fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_6,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,6,"This document outlines requirements for credit transfer and admission, including",Dokumen ini telah ditandatangani secara elektronik menggunakan sertifikat elektr,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_14,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,14,This document chunk outlines assessment criteria for cognitive abilities (sharp ,"Dokumen ini menjelaskan aspek kepribadian yang diukur, yaitu Kehangatan, Stabili",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_0,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,0,"This document, electronically signed by the Balai Besar Sertifikasi Elektronik (",Dokumen ini telah ditandatangani secara elektronik menggunakan sertifikat elektr,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_16,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,16,This document is a statement of commitment for male students at Poltekkes Kemenk,"Dokumen ini berisi tiga jenis surat pernyataan. Pertama, surat pernyataan bagi m",fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_12,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,12,This document is a statement of responsibility for SPMB Jalur Mandiri registrati,"Dokumen ini berisi beberapa formulir pernyataan dan persetujuan. Pertama, formul",fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_13,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,13,"This document contains two forms: a general permission letter and a ""Statement o",Dokumen ini berisi surat izin untuk mengikuti pendidikan di Poltekkes Kemenkes Y,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_9,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,9,The RPL assessment process includes interviews and potentially performance evalu,Wawancara dilakukan untuk mengumpulkan bukti pengetahuan dan keterampilan yang d,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_15,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,15,This document contains a registration form for new students at POLTEKKES KEMENKE,Dokumen ini berisi formulir pendaftaran mahasiswa baru POLTEKKES KEMENKES YOGYAK,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_7,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,7,"The document outlines registration requirements for educational programs, includ",Dokumen ini menjelaskan persyaratan dan tahapan pendaftaran Rekognisi Pembelajar,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_11,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,11,"This document, dated January 26, 2026, from the Director of Poltekkes Kemenkes Y",Biaya daftar ulang atas nama Poltekkes Kemenkes Yogyakarta tidak dapat diambil k,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_2,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,2,"This document, dated January 9, 2026, is the ""Pedoman Seleksi Penerimaan Mahasis",Dokumen ini berisi Pedoman Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Presta,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_3,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,3,"To ensure quality healthcare services, professional and competent health workers","Untuk mendukung upaya kesehatan, diperlukan Tenaga Kesehatan yang profesional da",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_1,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,1,"This document, signed electronically on January 9, 2026, by Dr. Iswanto, S.Pd, M","Dokumen ini memuat daftar peraturan dan keputusan yang menjadi dasar hukum, anta",fixed
doc_8d8bf084-6109-4390-ae5f-18102bdaedcb_0,Tata Tertib Ujian CBT SPMB Mandiri Reguler SMA 2026,0,This announcement details the regulations for the Computer-Based Test (CBT) for ,Pengumuman Nomor: KH.01.01/F.XIX/3604/2026 ini berisi Tata Tertib Pelaksanaan Uj,fixed
doc_8d8bf084-6109-4390-ae5f-18102bdaedcb_1,Tata Tertib Ujian CBT SPMB Mandiri Reguler SMA 2026,1,"Participants are advised not to bring unnecessary valuables, as a locker is avai",Peserta dihimbau untuk tidak membawa barang berharga yang tidak diperlukan untuk,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_5,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,5,"This document outlines uniform costs for DIII Gigi Reguler, STR Gigi Reguler, DI","Berikut adalah rincian biaya seragam, SPP/UKT, dan total untuk beberapa program ",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_8,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,8,"Applicants for SPMB Prestasi must submit a portfolio after passing Stage II, inc","Setelah lulus Tahap II, semua pendaftar prestasi wajib membuat portofolio (forma",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_4,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,4,"This document references several regulations and decisions, including Peraturan ","Dokumen ini memuat daftar peraturan dan keputusan yang menjadi dasar hukum, yait",fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_4,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,4,"This document references several regulations and decisions, including Ministeria","Dokumen ini memuat daftar peraturan dan keputusan yang menjadi dasar hukum, anta",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_10,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,10,New students (main graduates) must register for the 2026/2027 academic year at P,Calon mahasiswa baru (lulus utama) wajib melakukan registrasi dengan membayar bi,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_2,Pedoman SPMB Mandiri Profesi 2026,2,"This document is the ""Pedoman Seleksi Penerimaan Mahasiswa Baru (SPMB) Mandiri P",Dokumen ini berisi Pedoman Seleksi Penerimaan Mahasiswa Baru (SPMB) Mandiri Polt,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_15,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,15,This document is a declaration of willingness for male students at Poltekkes Kem,Dokumen ini berisi beberapa formulir pernyataan dan dokumen portofolio. Formulir,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_1,Pedoman SPMB Mandiri Profesi 2026,1,"This document, signed electronically on February 6, 2026, by Dr. Iswanto, S.Pd, ","Dokumen ini memuat dasar hukum yang mencakup Permendikbud No. 31 tahun 2022, Per",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_7,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,7,Accepted students must participate in the Student Creativity Program (PKM) and o,Calon mahasiswa yang diterima harus bersedia mengikuti Program Kreativitas Mahas,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_9,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,9,"The document outlines the scoring for non-academic achievements, including Engli","Prestasi non-akademik dinilai berdasarkan bidang Bahasa Inggris/lainnya, olahrag",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_11,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,11,This document outlines requirements for prospective students of Poltekkes Kemenk,Dokumen ini berisi beberapa surat pernyataan dan surat rekomendasi untuk pendaft,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_6,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,6,To be eligible for the SPMB Prestasi Poltekkes Kemenkes Yogyakarta Academic Year,Dokumen ini menjelaskan persyaratan untuk Seleksi Penerimaan Mahasiswa Baru (SPM,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_13,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,13,"This document chunk outlines interest areas such as Depression, Anxiety, Psychop","Dokumen ini berisi daftar kecenderungan bidang minat psikologi seperti Depresi, ",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_5,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,5,The SPMB Prestasi program at Poltekkes Kemenkes Yogyakarta for the 2026/2027 aca,SPMB prestasi berdasarkan Prestasi Minat dan Bakat dilaksanakan melalui tiga tah,fixed
doc_398b0667-dcf2-4c7c-9ea8-d4fbaec70842_1,Pengumuman Pemanggilan Cadangan I  SPMB Prestasi 2026,1,"Participants must undergo a health test, which includes a physical examination (",Peserta harus menempelkan foto berwarna ukuran 3 x 4 cm (latar belakang putih) p,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_6,Pedoman SPMB Mandiri Profesi 2026,6,The document outlines the schedule for the SPMB Mandiri Poltekkes Kemenkes Yogya,"Jadwal kegiatan meliputi Ujian Kesehatan pada 11 April 2026 dan 13 Mei 2026, Daf",fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_4,Pedoman SPMB Mandiri Profesi 2026,4,"This document references several regulations and decisions, including the Minist","Dokumen ini memuat beberapa peraturan dan keputusan, yaitu Peraturan Menteri Keu",fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_5,Pedoman SPMB Mandiri Profesi 2026,5,The registration process for the Independent Professional Education (Non-RPL) pa,"Dokumen ini menjelaskan mekanisme pendaftaran, kelengkapan dokumen, dan jadwal p",fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_7,Pedoman SPMB Mandiri Profesi 2026,7,This document chunk outlines procedures for the 2026/2027 academic year at Polte,Dokumen ini telah ditandatangani secara elektronik menggunakan sertifikat elektr,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_9,Pedoman SPMB Mandiri Profesi 2026,9,This document chunk contains two forms for the Poltekkes Kemenkes Yogyakarta SPM,"Dokumen ini berisi beberapa lampiran, yaitu: Lampiran 4 berupa Surat Izin Suami/",fixed
doc_19bdfd50-b238-4391-a671-7b3157800816_3,Hasil Seleksi SPMB Mandiri RPL Tahap II 2026,3,"This document, dated March 6, 2026, is electronically signed by Dr. Iswanto, S.P","Dokumen ini ditandatangani secara elektronik oleh Dr. Iswanto, S.Pd, M.Kes, Dire",fixed
doc_398b0667-dcf2-4c7c-9ea8-d4fbaec70842_2,Pengumuman Pemanggilan Cadangan I  SPMB Prestasi 2026,2,"For participants who passed the Tahfidz Achievement selection, an interview will",Peserta yang lulus utama Prestasi Tahfidz dapat bergabung melalui grup WhatsApp ,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_3,Pedoman SPMB Mandiri Profesi 2026,3,"Poltekkes Kemenkes Yogyakarta, for the 2026/2027 academic year, is holding an in",Poltekkes Kemenkes Yogyakarta menyelenggarakan Seleksi Penerimaan Mahasiswa Baru,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_10,Pedoman SPMB Mandiri Profesi 2026,10,This document chunk outlines assessment criteria for cognitive abilities (proble,"Dokumen ini menjelaskan aspek-aspek yang diukur dalam kepribadian, meliputi keha",fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_0,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,0,"This announcement, dated April 6, 2026, declares the final selection results for",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi tahap III (akhir) SPM,fixed
doc_398b0667-dcf2-4c7c-9ea8-d4fbaec70842_0,Pengumuman Pemanggilan Cadangan I  SPMB Prestasi 2026,0,"This announcement, dated March 16, 2026, declares participants listed in the app",Berdasarkan rapat nominasi Panitia SPMB Poltekkes Kemenkes Yogyakarta pada Senin,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_1,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,1,New students must complete their uniform jacket measurements and upload proof of,Calon mahasiswa wajib melengkapi data ukuran jas (almamater dan laboratorium) se,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_8,Pedoman SPMB Mandiri Profesi 2026,8,"This document chunk, titled ""Surat Klarifikasi,"" outlines requirements for uploa","Dokumen ini berisi ""Surat Klarifikasi"" yang meminta ijazah dan transkrip akademi",fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_12,Pedoman SPMB Mandiri Profesi 2026,12,This document is a declaration of commitment from a male student for Poltekkes K,Dokumen ini berisi dua surat pernyataan. Surat pernyataan pertama adalah dari ca,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_11,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,11,This document contains two separate statements. The first is a declaration by a ,Dokumen ini berisi dua lampiran. Lampiran 3 adalah Surat Pernyataan Kesediaan Me,fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_11,Pedoman SPMB Mandiri Profesi 2026,11,"This document chunk outlines a form for student data collection, including perso","Dokumen ini berisi data pribadi yang lengkap meliputi NISN, tempat tanggal lahir",fixed
doc_ff8697c1-0e5f-4679-9092-bfedd314a469_0,Pedoman SPMB Mandiri Profesi 2026,0,"This document, signed electronically by the Director of Poltekkes Kemenkes Yogya",Dokumen ini berisi Pedoman Pelaksanaan Seleksi Penerimaan Mahasiswa Baru (SPMB) ,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_1,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,1,Participants are required to undergo health and psychological tests in their res,Peserta yang akan melakukan uji kesehatan dan psikotes di daerah masing-masing T,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_2,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,2,The document outlines interview selection processes for various programs. For Nu,Berikut adalah ringkasan dari dokumen tersebut:  Seleksi Wawancara Jurusan Keper,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_0,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,0,"This announcement, dated March 2, 2026, declares the results of the Stage II Ach",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi penerimaan mahasiswa ,fixed
doc_2694d4fa-4c2c-45f7-9f1b-4494ae496926_0,3174 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,0,"This announcement, dated May 26, 2025, declares the results of the third stage o",Berdasarkan rapat nominasi Panitia Sipenmaru Politeknik Kesehatan Kemenkes Yogya,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_3,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,3,The registration fees paid to Poltekkes Kemenkes Yogyakarta are non-refundable f,Biaya daftar ulang yang telah dibayarkan atas nama Poltekkes Kemenkes Yogyakarta,fixed
doc_2694d4fa-4c2c-45f7-9f1b-4494ae496926_1,3174 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,1,"Participants must print the health examination form, attach a 3x4 cm color photo","Peserta diwajibkan mencetak formulir pemeriksaan kesehatan, menempelkan foto ber",fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_3,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,3,This document outlines the health test schedule for prospective students of Polt,"Dokumen ini ditandatangani secara elektronik oleh Dr. Iswanto, S.Pd, M.Kes, Dire",fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_5,Hasil Seleksi Tahap III SPMB Prestasi 2026,5,This document details uniform costs for various programs at Poltekkes Yogyakarta,"Dokumen ini berisi rincian biaya seragam, SPP/UKT, dan asrama untuk beberapa pro",fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_6,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,6,"This document, dated March 3, 2026, contains lists of registration numbers for t",Dokumen ini berisi daftar nomor pendaftaran untuk beberapa program studi di Poli,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_7,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,7,"This document, dated March 3, 2026, in Yogyakarta, lists registration numbers fo",Berikut adalah daftar nomor pendaftaran untuk beberapa program studi di Politekn,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_4,Hasil Seleksi Tahap III SPMB Prestasi 2026,4,"This document details uniform costs for various programs, including D.III Gizi R",Dokumen ini merinci biaya seragam dan SPP/UKT untuk berbagai jurusan dan program,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_12,Hasil Seleksi Tahap III SPMB Prestasi 2026,12,"This document contains two ""SURAT PERNYATAAN"" (Statement Letters) for male stude",Dokumen ini berisi dua surat pernyataan. Surat pernyataan pertama dibuat oleh ma,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_8,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,8,"This document, dated March 3, 2026, lists registration numbers for the Prodi Kep",Dokumen ini berisi daftar nomor pendaftaran untuk beberapa program studi di Poli,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_9,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,9,"This document, dated March 3, 2026, from the Politeknik Kesehatan Yogyakarta, co",Dokumen ini berisi daftar 24 nomor pendaftaran untuk PRODI SANITASI LINGKUNGAN P,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_10,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,10,This document is a written interview form for prospective Nursing students apply,Dokumen ini adalah Formulir Wawancara Tertulis Calon Mahasiswa Baru Jurusan Kepe,fixed
doc_2694d4fa-4c2c-45f7-9f1b-4494ae496926_2,3174 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,2,This document contains a declaration of agreement for RPL assessment results by ,"Dokumen ini berisi daftar nomor, pernyataan persetujuan hasil asesmen RPL untuk ",fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_10,Hasil Seleksi Tahap III SPMB Prestasi 2026,10,"This document, dated March 10, 2026, from Dr. Iswanto, Director of Politeknik Ke",Dokumen ini berisi daftar ulang mahasiswa baru POLTEKKES KEMENKES YOGYAKARTA SPM,fixed
